subset_rank_key,subset_size,subset_features,model,accuracy_mean,roc_auc_mean,log_loss_mean,brier_mean,calibration_gap_pp_mean,n_splits
intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s,3,intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s,7day_logistic_baseline,0.7613304093567251,0.8375497843108668,0.501554285027941,0.1632766050601992,30.86343653159603,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s,3,intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s,7day_logistic_enhanced,0.7637426900584795,0.8418014330677599,0.48859642838559353,0.16118896581677827,31.741441361946833,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s,3,intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
intra_candle_vwap_deviation+tick_entropy_10s+tte_range_asymmetry,3,intra_candle_vwap_deviation+tick_entropy_10s+tte_range_asymmetry,7day_logistic_baseline,0.803654970760234,0.8786687735306983,0.4290819490233631,0.13835330725309647,27.72745233530369,1
intra_candle_vwap_deviation+tick_entropy_10s+tte_range_asymmetry,3,intra_candle_vwap_deviation+tick_entropy_10s+tte_range_asymmetry,7day_logistic_enhanced,0.8045321637426901,0.8818867439088188,0.42858355583159635,0.13749984626975714,27.893660085211142,1
intra_candle_vwap_deviation+tick_entropy_10s+tte_range_asymmetry,3,intra_candle_vwap_deviation+tick_entropy_10s+tte_range_asymmetry,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
intra_candle_vwap_deviation+tick_entropy_10s+vwap,3,intra_candle_vwap_deviation+tick_entropy_10s+vwap,7day_logistic_baseline,0.7618127786032689,0.8395103649006161,0.4985987760430788,0.1619652786472497,30.605119849854773,1
intra_candle_vwap_deviation+tick_entropy_10s+vwap,3,intra_candle_vwap_deviation+tick_entropy_10s+vwap,7day_logistic_enhanced,0.7657503714710253,0.843979072522421,0.4853595439559565,0.1598899000393542,31.512722576907322,1
intra_candle_vwap_deviation+tick_entropy_10s+vwap,3,intra_candle_vwap_deviation+tick_entropy_10s+vwap,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,1
intra_candle_vwap_deviation+micro_price_acceleration+micro_acceleration_decay_15s,3,intra_candle_vwap_deviation+micro_price_acceleration+micro_acceleration_decay_15s,7day_logistic_baseline,0.7609649122807017,0.8375856110048625,0.5014810208046904,0.16326281404410511,30.86174286081475,1
intra_candle_vwap_deviation+micro_price_acceleration+micro_acceleration_decay_15s,3,intra_candle_vwap_deviation+micro_price_acceleration+micro_acceleration_decay_15s,7day_logistic_enhanced,0.7638157894736842,0.8418172988688113,0.4885878257647801,0.16118641034740588,31.73973509927606,1
intra_candle_vwap_deviation+micro_price_acceleration+micro_acceleration_decay_15s,3,intra_candle_vwap_deviation+micro_price_acceleration+micro_acceleration_decay_15s,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
intra_candle_vwap_deviation+micro_price_acceleration+tte_range_asymmetry,3,intra_candle_vwap_deviation+micro_price_acceleration+tte_range_asymmetry,7day_logistic_baseline,0.8033625730994152,0.8787551992658851,0.42894427019011616,0.13830384719914582,27.721477011079028,1
intra_candle_vwap_deviation+micro_price_acceleration+tte_range_asymmetry,3,intra_candle_vwap_deviation+micro_price_acceleration+tte_range_asymmetry,7day_logistic_enhanced,0.8049707602339181,0.8818569419311681,0.4286468833768665,0.137524187508967,27.89512610765802,1
intra_candle_vwap_deviation+micro_price_acceleration+tte_range_asymmetry,3,intra_candle_vwap_deviation+micro_price_acceleration+tte_range_asymmetry,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
intra_candle_vwap_deviation+micro_price_acceleration+vwap,3,intra_candle_vwap_deviation+micro_price_acceleration+vwap,7day_logistic_baseline,0.7618870728083209,0.8395897631284727,0.49844469688197474,0.16193108540412954,30.600839315559767,1
intra_candle_vwap_deviation+micro_price_acceleration+vwap,3,intra_candle_vwap_deviation+micro_price_acceleration+vwap,7day_logistic_enhanced,0.7659732540861813,0.8440669286763904,0.4852850875407359,0.15986387321665366,31.50784049598859,1
