feature_dropped,model,n_features_used,impact_accuracy,impact_roc_auc,impact_log_loss,impact_brier,impact_calibration_gap_pp,full_accuracy,drop_accuracy,full_roc_auc,drop_roc_auc,full_log_loss,drop_log_loss,full_brier,drop_brier,full_calibration_gap_pp,drop_calibration_gap_pp,helpfulness_score
tte_range_asymmetry,7day_logistic_baseline,24,2.2460515694877614e-05,-2.339701964670926e-05,-2.9088617802208727e-05,-8.47481222859825e-06,-0.0016592440995140123,0.8004138506648351,0.8003913901491402,0.8877290287798736,0.8877524257995203,0.45214304178541703,0.4521139531676148,0.1444841410242938,0.1444756662120652,24.766703607265363,24.76504436316585,-5.509237497777875e-05
volume,7day_logistic_baseline,24,6.005803425879197e-05,-1.82126951288053e-05,-8.963056897837163e-05,-1.4469967159480568e-05,-9.636478256069836e-05,0.8004138506648351,0.8003537926305763,0.8877290287798736,0.8877472414750024,0.45214304178541703,0.45205341121643866,0.1444841410242938,0.14446967105713432,24.766703607265363,24.766607242482802,-6.321884483347251e-05
micro_price_acceleration,7day_logistic_baseline,24,6.831458677214464e-05,-2.9137966005343685e-05,-7.293652539136497e-05,-2.0916998842102075e-05,-0.0016550691011048002,0.8004138506648351,0.8003455360780629,0.8877290287798736,0.8877581667458789,0.45214304178541703,0.45207010526002567,0.1444841410242938,0.1444632240254517,24.766703607265363,24.765048538164258,-7.12275944777141e-05
tick_continuation_reversal_ratio_20s,7day_logistic_baseline,24,5.012901143186532e-06,-3.256580744537274e-05,-4.087871960961609e-05,-1.3283964753724176e-05,-0.003722281362477986,0.8004138506648351,0.8004088377636919,0.8877290287798736,0.887761594587319,0.45214304178541703,0.4521021630658074,0.1444841410242938,0.14447085705954008,24.766703607265363,24.762981325902885,-0.00011893840429030633
vwap,7day_logistic_baseline,24,-1.9273813847697774e-05,-1.1208734568834977e-05,-6.222297826025125e-05,-2.1969655362497065e-05,-0.001153200937480392,0.8004138506648351,0.8004331244786828,0.8877290287798736,0.8877402375144424,0.45214304178541703,0.4520808188071568,0.1444841410242938,0.1444621713689313,24.766703607265363,24.765550406327883,-0.00012620719141408497
micro_acceleration_decay_15s,7day_logistic_baseline,24,2.954616902406393e-05,-3.038995531179367e-05,-8.827595352167705e-05,-2.6761703099814627e-05,-0.002302382803350156,0.8004138506648351,0.800384304495811,0.8877290287798736,0.8877594187351854,0.45214304178541703,0.45205476583189536,0.1444841410242938,0.14445737932119398,24.766703607265363,24.764401224462013,-0.000138905270942723
seconds_to_5m_close,7day_logistic_baseline,24,-4.7505456568508464e-07,-1.6451654152649375e-05,-0.00010470852015759258,-2.940317080191157e-05,-0.0004140484528960542,0.8004138506648351,0.8004143257194007,0.8877290287798736,0.8877454804340262,0.45214304178541703,0.45203833326525944,0.1444841410242938,0.1444547378534919,24.766703607265363,24.766289558812467,-0.00015517888420679915
fraction_of_candle_elapsed,7day_logistic_baseline,24,-4.7505456568508464e-07,-1.6451654152649375e-05,-0.0001047085382134827,-2.9403174620828976e-05,-0.0004140479722281043,0.8004138506648351,0.8004143257194007,0.8877290287798736,0.8877454804340262,0.45214304178541703,0.45203833324720355,0.1444841410242938,0.14445473784967297,24.766703607265363,24.766289559293135,-0.00015517890127492718
tte_low_ratio,7day_logistic_baseline,24,-4.899149586856666e-05,-2.2017683696695656e-05,-5.615453090096478e-05,-1.7229409611713153e-05,-0.001408892647390303,0.8004138506648351,0.8004628421607036,0.8877290287798736,0.8877510464635703,0.45214304178541703,0.45208688725451607,0.1444841410242938,0.1444669116146821,24.766703607265363,24.765294714617973,-0.0001584820465518433
number_of_trades,7day_logistic_baseline,24,0.00014704952749866607,-5.9472285835582284e-05,-0.00016107412691562795,-4.339445563628086e-05,-0.004711505111053782,0.8004138506648351,0.8002668011373364,0.8877290287798736,0.8877885010657092,0.45214304178541703,0.4519819676585014,0.1444841410242938,0.14444074656865752,24.766703607265363,24.76199210215431,-0.00016400639199936284
